Lema	Clase	Frec. gral.	Frec. norm.	Frec. norm.
fiscal	A	20975	54.636	62.724
PP	K	20965	54.61	62.694
adulto	N	20955	54.584	62.664
emitir	V	20940	54.545	62.619
dios	N	20936	54.534	62.607
literario	A	20913	54.474	62.539
alternativa	N	20906	54.456	62.518
escala	N	20906	54.456	62.518
devolver	V	20903	54.448	62.509
breve	A	20898	54.435	62.494
sesión	N	20883	54.396	62.449
disponible	A	20875	54.375	62.425
avión	N	20857	54.328	62.371
reacción	N	20852	54.315	62.356
cuello	N	20839	54.282	62.317
tender	V	20802	54.185	62.207
bar	N	20796	54.17	62.189
componer	V	20765	54.089	62.096
explicación	N	20748	54.044	62.045
investigar	V	20737	54.016	62.012
índice	N	20735	54.011	62.006
reducción	N	20719	53.969	61.958
precisar	V	20710	53.945	61.931
anual	A	20706	53.935	61.919
revisar	V	20702	53.925	61.908
raíz	N	20660	53.815	61.782
componente	N	20650	53.789	61.752
tío	N	20643	53.771	61.731
estimar	V	20633	53.745	61.701
derecha	N	20619	53.708	61.659
1	M	20607	53.677	61.623
ubicar	V	20602	53.664	61.608
clásico	A	20601	53.662	61.605
veinte	M	20596	53.649	61.591
caracterizar	V	20590	53.633	61.573
Alemania	K	20556	53.544	61.471
ruta	N	20485	53.359	61.259
intervenir	V	20483	53.354	61.253
plata	N	20461	53.297	61.187
detectar	V	20430	53.216	61.094
moral	A	20390	53.112	60.975
totalmente	R	20389	53.109	60.972
escolar	A	20370	53.06	60.915
comentario	N	20330	52.956	60.795
medicamento	N	20324	52.94	60.777
casar	V	20296	52.867	60.693
plano	N	20277	52.818	60.637
falso	A	20274	52.81	60.628
pegar	V	20274	52.81	60.628
alemán	A	20264	52.784	60.598
dedicado	A	20263	52.781	60.595
operar	V	20256	52.763	60.574
externo	A	20245	52.734	60.541
caída	N	20240	52.721	60.526
carga	N	20229	52.693	60.493
preciso	A	20198	52.612	60.4
bailar	V	20153	52.495	60.266
Santiago	K	20148	52.482	60.251
soltar	V	20129	52.432	60.194
múltiple	A	20090	52.331	60.077
China	K	19988	52.065	59.772
futuro	A	19985	52.057	59.763
costumbre	N	19977	52.036	59.739
diario	A	19937	51.932	59.62
reclamar	V	19893	51.817	59.488
derecho	A	19887	51.802	59.47
hermoso	A	19886	51.799	59.467
conducta	N	19880	51.784	59.449
saltar	V	19849	51.703	59.357
situar	V	19831	51.656	59.303
arrancar	V	19828	51.648	59.294
paisaje	N	19824	51.638	59.282
100	M	19813	51.609	59.249
convocar	V	19797	51.567	59.201
constitucional	A	19765	51.484	59.106
al igual que	C	19750	51.445	59.061
crimen	N	19749	51.442	59.058
espejo	N	19743	51.427	59.04
citar	V	19674	51.247	58.833
división	N	19624	51.117	58.684
aprendizaje	N	19619	51.104	58.669
loco	A	19590	51.028	58.582
cerebro	N	19585	51.015	58.567
caballo	N	19567	50.968	58.513
familiar	N	19547	50.916	58.454
dado	A	19510	50.82	58.343
secreto	N	19498	50.788	58.307
tardar	V	19497	50.786	58.304
elevado	A	19483	50.749	58.262
código	N	19482	50.747	58.259
argumento	N	19476	50.731	58.241
rodear	V	19450	50.663	58.164
acusar	V	19448	50.658	58.158
inteligencia	N	19441	50.64	58.137
enseñanza	N	19437	50.63	58.125
40	M	19403	50.541	58.023
laboratorio	N	19388	50.502	57.978
proceder	V	19386	50.497	57.972
reserva	N	19355	50.416	57.879
discutir	V	19347	50.395	57.856
concentrar	V	19302	50.278	57.721
británico	A	19300	50.273	57.715
resistencia	N	19298	50.268	57.709
avenida	N	19291	50.249	57.688
probablemente	R	19290	50.247	57.685
montaña	N	19289	50.244	57.682
universo	N	19288	50.241	57.679
ejecutivo	N	19258	50.163	57.589
atrever	V	19247	50.135	57.556
confiar	V	19246	50.132	57.553
ah	I	19219	50.062	57.473
correspondiente	A	19217	50.057	57.467
2011	N	19197	50.004	57.407
enterar	V	19188	49.981	57.38
puerto	N	19187	49.978	57.377
definición	N	19179	49.958	57.353
involucrar	V	19173	49.942	57.335
belleza	N	19172	49.939	57.332
favorecer	V	19107	49.77	57.138
encuesta	N	19099	49.749	57.114
concentración	N	19097	49.744	57.108
infraestructura	N	19081	49.702	57.06
publicación	N	19076	49.689	57.045
académico	A	19064	49.658	57.009
órgano	N	19057	49.64	56.988
asamblea	N	19018	49.538	56.872
palacio	N	18995	49.478	56.803
americano	A	18984	49.45	56.77
acá	R	18975	49.426	56.743
prácticamente	R	18971	49.416	56.731
o sea	C	18943	49.343	56.647
huevo	N	18936	49.325	56.626
conservación	N	18920	49.283	56.579
reflexión	N	18911	49.259	56.552
pasión	N	18904	49.241	56.531
rival	N	18901	49.233	56.522
turismo	N	18884	49.189	56.471
consciente	A	18873	49.16	56.438
titular	N	18832	49.054	56.315
6	M	18792	48.949	56.196
risa	N	18788	48.939	56.184
Ecuador	K	18785	48.931	56.175
azúcar	N	18776	48.908	56.148
parecido	A	18773	48.9	56.139
bello	A	18772	48.897	56.136
posterior	A	18746	48.83	56.058
18	M	18741	48.817	56.043
funcionamiento	N	18740	48.814	56.04
girar	V	18732	48.793	56.016
triste	A	18715	48.749	55.966
esencial	A	18705	48.723	55.936
evidencia	N	18692	48.689	55.897
tensión	N	18686	48.673	55.879
esquina	N	18685	48.671	55.876
cuándo	R	18672	48.637	55.837
obligación	N	18668	48.626	55.825
seguramente	R	18641	48.556	55.744
patrimonio	N	18618	48.496	55.676
confesar	V	18617	48.494	55.673
por lo menos	R	18586	48.413	55.58
junta	N	18579	48.395	55.559
partida	N	18539	48.29	55.439
consumidor	N	18524	48.251	55.394
norteamericano	A	18518	48.236	55.376
peligroso	A	18496	48.178	55.311
alegría	N	18487	48.155	55.284
entrega	N	18472	48.116	55.239
espectador	N	18461	48.087	55.206
Carlos	K	18460	48.085	55.203
fallecer	V	18455	48.072	55.188
poesía	N	18442	48.038	55.149
federación	N	18440	48.033	55.143
promoción	N	18416	47.97	55.071
por favor	R	18414	47.965	55.065
distinguir	V	18400	47.928	55.024
matrimonio	N	18382	47.882	54.97
someter	V	18371	47.853	54.937
llamada	N	18348	47.793	54.868
particular	N	18340	47.772	54.844
preparación	N	18321	47.723	54.787
por fin	R	18320	47.72	54.784
apreciar	V	18308	47.689	54.748
moda	N	18294	47.652	54.707
modificar	V	18286	47.631	54.683
vestido	N	18285	47.629	54.68
establecimiento	N	18284	47.626	54.677
María	K	18227	47.478	54.506
completar	V	18222	47.465	54.491
adelantar	V	18207	47.426	54.446
colección	N	18206	47.423	54.443
2012	N	18202	47.413	54.431
aparato	N	18197	47.4	54.417
administrativo	A	18190	47.381	54.396
pan	N	18184	47.366	54.378
consulta	N	18181	47.358	54.369
sal	N	18159	47.301	54.303
ideal	A	18145	47.264	54.261
vaso	N	18140	47.251	54.246
biblioteca	N	18133	47.233	54.225
11	N	18115	47.186	54.171
quinto	M	18101	47.15	54.129
experimentar	V	18067	47.061	54.028
soñar	V	18058	47.038	54.001
diagnóstico	N	18037	46.983	53.938
punta	N	18034	46.975	53.929
manifestación	N	18028	46.959	53.911
vacío	A	18002	46.892	53.833
Italia	K	17993	46.868	53.806
tren	N	17970	46.808	53.738
elevar	V	17949	46.754	53.675
golpear	V	17949	46.754	53.675
localidad	N	17943	46.738	53.657
entrenador	N	17939	46.728	53.645
convencer	V	17932	46.709	53.624
cárcel	N	17926	46.694	53.606
enemigo	N	17920	46.678	53.588
9	N	17904	46.636	53.54
destinado	A	17901	46.629	53.531
prevención	N	17891	46.603	53.501
25	M	17881	46.577	53.472
unión	N	17873	46.556	53.448
ajeno	A	17853	46.504	53.388
corriente	N	17839	46.467	53.346
luna	N	17821	46.42	53.292
mental	A	17803	46.373	53.238
margen	N	17799	46.363	53.226
venezolano	A	17782	46.319	53.176
botella	N	17775	46.3	53.155
facultad	N	17768	46.282	53.134
político	N	17749	46.233	53.077
fórmula	N	17731	46.186	53.023
diente	N	17712	46.136	52.966
transformación	N	17704	46.115	52.942
agradecer	V	17677	46.045	52.862
interpretación	N	17668	46.022	52.835
alcohol	N	17666	46.016	52.829
pendiente	A	17666	46.016	52.829
colgar	V	17665	46.014	52.826
pista	N	17664	46.011	52.823
encender	V	17660	46.001	52.811
ensayo	N	17627	45.915	52.712
completamente	R	17625	45.91	52.706
lesión	N	17616	45.886	52.679
denuncia	N	17603	45.852	52.64
Bolivia	K	17601	45.847	52.634
mil	M	17567	45.759	52.533
colaboración	N	17549	45.712	52.479
relativo	A	17546	45.704	52.47
ampliar	V	17506	45.6	52.35
justificar	V	17497	45.576	52.323
virus	N	17493	45.566	52.311
frecuente	A	17441	45.43	52.156
nervioso	A	17439	45.425	52.15
ocultar	V	17430	45.402	52.123
25	N	17427	45.394	52.114
chileno	A	17419	45.373	52.09
12	N	17401	45.326	52.036
asistencia	N	17396	45.313	52.021
perfil	N	17388	45.292	51.997
beso	N	17349	45.191	51.881
continuación	N	17334	45.152	51.836
limpio	A	17312	45.094	51.77
aproximadamente	R	17281	45.014	51.677
abrazar	V	17277	45.003	51.665
ambiente	A	17274	44.995	51.656
agarrar	V	17270	44.985	51.644
vuelo	N	17268	44.98	51.638
apertura	N	17263	44.967	51.623
patio	N	17256	44.949	51.603
contemporáneo	A	17234	44.891	51.537
humanidad	N	17232	44.886	51.531
alianza	N	17225	44.868	51.51
cotidiano	A	17225	44.868	51.51
emergencia	N	17218	44.85	51.489
lento	A	17186	44.766	51.393
saludar	V	17186	44.766	51.393
basar	V	17165	44.711	51.33
integración	N	17165	44.711	51.33
dominar	V	17161	44.701	51.318
personalidad	N	17159	44.696	51.312
gobernador	N	17155	44.685	51.301
barco	N	17141	44.649	51.259
aparición	N	17127	44.612	51.217
temor	N	17127	44.612	51.217
cantante	N	17113	44.576	51.175
robar	V	17099	44.54	51.133
juventud	N	17076	44.48	51.064
recuperación	N	17066	44.454	51.034
salvo	A	17064	44.448	51.028
respecto	N	17027	44.352	50.918
espera	N	17023	44.342	50.906
dispositivo	N	17002	44.287	50.843
cooperación	N	16990	44.256	50.807
policial	A	16969	44.201	50.744
fumar	V	16957	44.17	50.708
fruto	N	16954	44.162	50.699
correcto	A	16951	44.154	50.69
integral	A	16946	44.141	50.676
seguido	A	16913	44.055	50.577
posteriormente	R	16904	44.032	50.55
audiencia	N	16896	44.011	50.526
huir	V	16895	44.008	50.523
valorar	V	16893	44.003	50.517
escrito	A	16864	43.927	50.43
recorrido	N	16859	43.914	50.415
reto	N	16858	43.912	50.412
practicar	V	16855	43.904	50.403
fruta	N	16844	43.875	50.371
volar	V	16843	43.873	50.368
placer	N	16840	43.865	50.359
sección	N	16831	43.841	50.332
respirar	V	16820	43.813	50.299
Uruguay	K	16815	43.8	50.284
agricultura	N	16811	43.789	50.272
considerado	A	16809	43.784	50.266
justo	A	16798	43.756	50.233
anotar	V	16782	43.714	50.185
temer	V	16753	43.638	50.098
italiano	A	16750	43.63	50.089
besar	V	16749	43.628	50.086
perseguir	V	16749	43.628	50.086
invertir	V	16728	43.573	50.024
útil	A	16724	43.563	50.012
calificar	V	16716	43.542	49.988
independencia	N	16700	43.5	49.94
extremo	N	16691	43.477	49.913
techo	N	16682	43.453	49.886
rol	N	16673	43.43	49.859
poema	N	16655	43.383	49.805
existente	A	16643	43.352	49.769
presidencial	A	16631	43.321	49.734
blanco	N	16624	43.302	49.713
soportar	V	16621	43.294	49.704
batalla	N	16599	43.237	49.638
especializado	A	16571	43.164	49.554
músico	N	16565	43.149	49.536
obligado	A	16546	43.099	49.479
diversidad	N	16544	43.094	49.473
indicador	N	16539	43.081	49.458
dudar	V	16533	43.065	49.44
penal	A	16520	43.031	49.402
latinoamericano	A	16484	42.938	49.294
disparar	V	16478	42.922	49.276
círculo	N	16477	42.919	49.273
1999	N	16458	42.87	49.216
50	N	16453	42.857	49.201
fe	N	16447	42.841	49.183
clima	N	16420	42.771	49.103
dirigido	A	16413	42.753	49.082
preparado	A	16412	42.75	49.079
patrón	N	16408	42.74	49.067
arrastrar	V	16407	42.737	49.064
instancia	N	16406	42.734	49.061
socio	N	16406	42.734	49.061
variedad	N	16384	42.677	48.995
hambre	N	16382	42.672	48.989
síntoma	N	16381	42.669	48.986
doce	M	16377	42.659	48.974
alcance	N	16371	42.643	48.956
inferior	A	16371	42.643	48.956
diseñar	V	16369	42.638	48.95
presidencia	N	16367	42.633	48.944
comparar	V	16346	42.578	48.881
impresión	N	16326	42.526	48.821
derrota	N	16306	42.474	48.762
visitante	N	16264	42.365	48.636
izquierdo	A	16256	42.344	48.612
academia	N	16246	42.318	48.582
excelente	A	16222	42.255	48.51
nuevamente	R	16212	42.229	48.481
clasificación	N	16197	42.19	48.436
rueda	N	16187	42.164	48.406
vicepresidente	N	16184	42.156	48.397
extraordinario	A	16183	42.154	48.394
disciplina	N	16178	42.141	48.379
extranjero	N	16139	42.039	48.262
fiscal	N	16139	42.039	48.262
motor	N	16112	41.969	48.182
campeonato	N	16111	41.966	48.179
expectativa	N	16105	41.95	48.161
moneda	N	16104	41.948	48.158
XX	N	16100	41.937	48.146
guía	N	16078	41.88	48.08
establecido	A	16076	41.875	48.074
puente	N	16061	41.836	48.029
of	F	16040	41.781	47.966
vos	L	16034	41.765	47.948
innovación	N	16031	41.758	47.939
atacar	V	16029	41.752	47.933
prever	V	16027	41.747	47.927
danza	N	16022	41.734	47.912
igualmente	R	16018	41.724	47.9
complicado	A	16017	41.721	47.897
escalera	N	16015	41.716	47.891
alimentación	N	15979	41.622	47.784
sustancia	N	15967	41.591	47.748
13	N	15960	41.573	47.727
toma	N	15958	41.567	47.721
infancia	N	15921	41.471	47.61
contratar	V	15907	41.435	47.568
pintar	V	15895	41.403	47.533
quince	M	15885	41.377	47.503
vinculado	A	15878	41.359	47.482
montar	V	15864	41.323	47.44
optar	V	15853	41.294	47.407
ejecutar	V	15832	41.239	47.344
16	M	15831	41.237	47.341
molestar	V	15829	41.231	47.335
calcular	V	15823	41.216	47.317
continuo	A	15823	41.216	47.317
II	N	15816	41.198	47.296
plataforma	N	15803	41.164	47.257
24	M	15793	41.138	47.228
fresco	A	15786	41.119	47.207
cargar	V	15777	41.096	47.18
de acuerdo a	P	15758	41.047	47.123
padecer	V	15749	41.023	47.096
católico	A	15745	41.013	47.084
bonito	A	15739	40.997	47.066
interrumpir	V	15723	40.955	47.018
14	M	15709	40.919	46.976
aventura	N	15697	40.888	46.941
archivo	N	15689	40.867	46.917
percepción	N	15678	40.838	46.884
clínico	A	15671	40.82	46.863
habilidad	N	15670	40.817	46.86
Londres	K	15663	40.799	46.839
con respecto a	P	15660	40.791	46.83
anuncio	N	15655	40.778	46.815
tía	N	15645	40.752	46.785
capitán	N	15625	40.7	46.725
extensión	N	15621	40.69	46.713
pasillo	N	15619	40.684	46.707
alimentar	V	15617	40.679	46.701
testigo	N	15613	40.669	46.689
recurrir	V	15611	40.664	46.683
busca	N	15590	40.609	46.621
consultar	V	15588	40.604	46.615
biológico	A	15578	40.578	46.585
sobrevivir	V	15573	40.565	46.57
poderoso	A	15565	40.544	46.546
relevante	A	15557	40.523	46.522
puesto que	C	15546	40.494	46.489
secretaría	N	15543	40.486	46.48
aporte	N	15530	40.453	46.441
decreto	N	15530	40.453	46.441
perdonar	V	15528	40.447	46.435
tiro	N	15525	40.44	46.426
zapato	N	15514	40.411	46.393
concurso	N	15511	40.403	46.384
nombrar	V	15511	40.403	46.384
relacionar	V	15508	40.395	46.375
tráfico	N	15506	40.39	46.369
beneficiar	V	15499	40.372	46.348
ánimo	N	15489	40.346	46.319
estratégico	A	15477	40.315	46.283
papa	N	15460	40.27	46.232
excepción	N	15448	40.239	46.196
enfoque	N	15446	40.234	46.19
subrayar	V	15430	40.192	46.142
denominado	A	15412	40.145	46.088
traje	N	15410	40.14	46.082
mezcla	N	15409	40.137	46.079
ejecución	N	15407	40.132	46.073
petróleo	N	15402	40.119	46.058
mundial	N	15396	40.104	46.04
realización	N	15395	40.101	46.037
intelectual	A	15393	40.096	46.031
acontecimiento	N	15384	40.072	46.005
inventar	V	15376	40.051	45.981
tarjeta	N	15370	40.036	45.963
comunicado	N	15362	40.015	45.939
soledad	N	15362	40.015	45.939
mejora	N	15360	40.01	45.933
publicado	A	15357	40.002	45.924
agrícola	A	15343	39.966	45.882
universal	A	15332	39.937	45.849
aeropuerto	N	15328	39.926	45.837
atraer	V	15294	39.838	45.735
bolsillo	N	15288	39.822	45.717
madrugada	N	15281	39.804	45.696
orgánico	A	15271	39.778	45.667
turístico	A	15258	39.744	45.628
demasiado	Q	15248	39.718	45.598
sentencia	N	15245	39.71	45.589
regreso	N	15229	39.669	45.541
video	N	15227	39.663	45.535
desnudo	A	15223	39.653	45.523
en lugar de	P	15219	39.643	45.511
humor	N	15215	39.632	45.499
fortalecer	V	15213	39.627	45.493
bebé	N	15206	39.609	45.472
comunitario	A	15204	39.603	45.466
argentino	N	15195	39.58	45.439
reloj	N	15190	39.567	45.424
mapa	N	15188	39.562	45.418
cadáver	N	15177	39.533	45.385
14	N	15176	39.531	45.383
acompañado	A	15173	39.523	45.374
envolver	V	15154	39.473	45.317
exportación	N	15154	39.473	45.317
extremo	A	15151	39.465	45.308
afuera	R	15150	39.463	45.305
agenda	N	15146	39.452	45.293
cierre	N	15138	39.432	45.269
centrar	V	15121	39.387	45.218
correo	N	15116	39.374	45.203
formal	A	15110	39.359	45.185
supuesto	A	15096	39.322	45.143
finalizar	V	15091	39.309	45.128
utilizado	A	15083	39.288	45.104
felicidad	N	15073	39.262	45.074
negro	N	15068	39.249	45.06
recomendación	N	15059	39.226	45.033
media	N	15039	39.174	44.973
salario	N	15034	39.161	44.958
idioma	N	14992	39.051	44.832
portavoz	N	14978	39.015	44.79
ejecutivo	A	14977	39.012	44.787
ayuntamiento	N	14967	38.986	44.758
signo	N	14966	38.984	44.755
amarillo	A	14962	38.973	44.743
genético	A	14956	38.957	44.725
influir	V	14956	38.957	44.725
observación	N	14956	38.957	44.725
arena	N	14940	38.916	44.677
borde	N	14940	38.916	44.677
dulce	A	14937	38.908	44.668
empresarial	A	14933	38.898	44.656
descansar	V	14931	38.892	44.65
dibujo	N	14931	38.892	44.65
caliente	A	14920	38.864	44.617
votar	V	14905	38.825	44.572
probable	A	14900	38.812	44.557
rápidamente	R	14888	38.78	44.521
interior	A	14880	38.759	44.497
protesta	N	14851	38.684	44.411
pronunciar	V	14847	38.674	44.399
socialista	A	14834	38.64	44.36
pausa	N	14832	38.634	44.354
únicamente	R	14807	38.569	44.279
valle	N	14795	38.538	44.243
garantía	N	14790	38.525	44.228
listo	A	14784	38.509	44.21
acaso	R	14783	38.507	44.207
integrante	N	14780	38.499	44.198
regalar	V	14768	38.468	44.162
lágrima	N	14767	38.465	44.159
piloto	N	14767	38.465	44.159
igualdad	N	14755	38.434	44.124
sabor	N	14741	38.397	44.082
talento	N	14730	38.369	44.049
corrupción	N	14714	38.327	44.001
desafío	N	14706	38.306	43.977
frío	N	14696	38.28	43.947
resaltar	V	14696	38.28	43.947
creciente	A	14692	38.27	43.935
intensidad	N	14671	38.215	43.872
sustituir	V	14670	38.212	43.869
mal	N	14664	38.197	43.851
episodio	N	14663	38.194	43.848
destruir	V	14662	38.192	43.845
rendimiento	N	14662	38.192	43.845
nariz	N	14657	38.179	43.83
limpiar	V	14656	38.176	43.827
inglés	A	14649	38.158	43.807
muro	N	14636	38.124	43.768
cerveza	N	14598	38.025	43.654
violento	A	14595	38.017	43.645
mezclar	V	14583	37.986	43.609
resistir	V	14577	37.97	43.591
oído	N	14576	37.968	43.588
conexión	N	14571	37.955	43.573
recientemente	R	14565	37.939	43.555
situado	A	14565	37.939	43.555
elaboración	N	14560	37.926	43.54
chino	A	14545	37.887	43.496
adaptar	V	14541	37.876	43.484
fijo	A	14531	37.85	43.454
amistad	N	14512	37.801	43.397
animar	V	14507	37.788	43.382
1998	N	14501	37.772	43.364
auténtico	A	14500	37.77	43.361
pantalón	N	14500	37.77	43.361
hueso	N	14499	37.767	43.358
cada vez que	C	14491	37.746	43.334
fino	A	14479	37.715	43.298
solar	A	14476	37.707	43.289
turno	N	14476	37.707	43.289
mierda	N	14456	37.655	43.229
nacimiento	N	14437	37.606	43.173
anciano	N	14421	37.564	43.125
efectuar	V	14417	37.553	43.113
firme	A	14416	37.551	43.11
móvil	A	14416	37.551	43.11
amenazar	V	14412	37.54	43.098
energético	A	14409	37.533	43.089
equilibrio	N	14397	37.501	43.053
callar	V	14389	37.481	43.029
exterior	N	14383	37.465	43.011
rama	N	14343	37.361	42.891
convenir	V	14342	37.358	42.888
desconocido	A	14321	37.303	42.826
feria	N	14302	37.254	42.769
cuanto	R	14294	37.233	42.745
polvo	N	14294	37.233	42.745
este	N	14286	37.212	42.721
asomar	V	14283	37.204	42.712
criticar	V	14281	37.199	42.706
gato	N	14280	37.197	42.703
convenio	N	14276	37.186	42.691
hacienda	N	14271	37.173	42.676
eje	N	14266	37.16	42.661
parlamento	N	14262	37.15	42.649
escoger	V	14258	37.139	42.637
puto	N	14254	37.129	42.625
proporción	N	14251	37.121	42.616
vital	A	14251	37.121	42.616
emisión	N	14249	37.116	42.61
figurar	V	14224	37.051	42.536
inmenso	A	14218	37.035	42.518
reforzar	V	14214	37.025	42.506
11	M	14208	37.009	42.488
asesinato	N	14207	37.006	42.485
inteligente	A	14197	36.98	42.455
alrededor	N	14191	36.965	42.437
climático	A	14188	36.957	42.428
r	N	14185	36.949	42.419
ingrediente	N	14180	36.936	42.404
liberar	V	14177	36.928	42.395
secundario	A	14172	36.915	42.38
cristal	N	14166	36.9	42.362
dependencia	N	14166	36.9	42.362
sano	A	14156	36.874	42.332
comprometer	V	14133	36.814	42.264
disputar	V	14130	36.806	42.255
semejante	A	14129	36.803	42.252
nube	N	14124	36.79	42.237
competir	V	14123	36.788	42.234
lejano	A	14108	36.749	42.189
Washington	K	14083	36.683	42.114
claramente	R	14079	36.673	42.102
infección	N	14066	36.639	42.063
filosofía	N	14061	36.626	42.048
primario	A	14058	36.618	42.039
exactamente	R	14055	36.611	42.03
amante	N	14052	36.603	42.021
querido	A	14036	36.561	41.973
respectivamente	R	14030	36.545	41.955
doler	V	14020	36.519	41.926
oficio	N	13992	36.446	41.842
ruso	A	13986	36.431	41.824
cinta	N	13972	36.394	41.782
et	F	13965	36.376	41.761
prisión	N	13956	36.353	41.734
entrenamiento	N	13949	36.334	41.713
ilusión	N	13941	36.314	41.689
intercambio	N	13934	36.295	41.668
participante	N	13933	36.293	41.665
columna	N	13927	36.277	41.647
60	M	13909	36.23	41.594
doméstico	A	13905	36.22	41.582
telefónico	A	13904	36.217	41.579
significado	N	13900	36.207	41.567
sindicato	N	13899	36.204	41.564
Guatemala	K	13891	36.183	41.54
contento	A	13891	36.183	41.54
docente	N	13889	36.178	41.534
pelota	N	13887	36.173	41.528
despacho	N	13878	36.149	41.501
riqueza	N	13877	36.147	41.498
examen	N	13868	36.123	41.471
autonomía	N	13854	36.087	41.429
paseo	N	13852	36.082	41.423
olímpico	A	13845	36.064	41.402
cuanto	H	13839	36.048	41.384
200	M	13835	36.037	41.372
propietario	N	13833	36.032	41.366
asiento	N	13825	36.011	41.342
convencido	A	13818	35.993	41.322
camisa	N	13817	35.991	41.319
grasa	N	13807	35.965	41.289
taza	N	13802	35.952	41.274
conversar	V	13795	35.933	41.253
senador	N	13792	35.925	41.244
conectar	V	13786	35.91	41.226
curioso	A	13779	35.892	41.205
bienestar	N	13747	35.808	41.109
arrojar	V	13739	35.787	41.085
publicidad	N	13739	35.787	41.085
16	N	13738	35.785	41.082
ciudadano	A	13736	35.78	41.076
fila	N	13730	35.764	41.058
suave	A	13719	35.735	41.025
llave	N	13710	35.712	40.999
invierno	N	13705	35.699	40.984
traducir	V	13703	35.694	40.978
conductor	N	13699	35.683	40.966
conceder	V	13691	35.662	40.942
responsable	A	13685	35.647	40.924
permiso	N	13681	35.636	40.912
carro	N	13678	35.629	40.903
esquema	N	13672	35.613	40.885
sólido	A	13672	35.613	40.885
cena	N	13663	35.589	40.858
cobertura	N	13654	35.566	40.831
inmediatamente	R	13653	35.563	40.828
ecológico	A	13652	35.561	40.825
ceder	V	13650	35.556	40.819
dominio	N	13644	35.54	40.801
potencia	N	13633	35.511	40.768
terrible	A	13611	35.454	40.703
celebración	N	13610	35.451	40.7
brillante	A	13604	35.436	40.682
opinar	V	13593	35.407	40.649
rasgo	N	13582	35.378	40.616
arreglar	V	13580	35.373	40.61
carecer	V	13579	35.371	40.607
dieta	N	13579	35.371	40.607
18	N	13573	35.355	40.589
apagar	V	13572	35.352	40.586
cumplimiento	N	13572	35.352	40.586
Bogotá	K	13565	35.334	40.565
ignorar	V	13565	35.334	40.565
masivo	A	13565	35.334	40.565
mentira	N	13557	35.313	40.541
militar	N	13531	35.246	40.463
desplazar	V	13522	35.222	40.436
menudo	N	13520	35.217	40.43
empujar	V	13519	35.214	40.427
enseguida	R	13490	35.139	40.341
17	N	13481	35.115	40.314
exceso	N	13479	35.11	40.308
regalo	N	13468	35.082	40.275
cabello	N	13462	35.066	40.257
espacial	A	13455	35.048	40.236
afectado	A	13419	34.954	40.128
ingeniero	N	13413	34.938	40.11
suma	N	13395	34.891	40.057
tanto	N	13395	34.891	40.057
postura	N	13394	34.889	40.054
provenir	V	13392	34.884	40.048
treinta	M	13385	34.865	40.027
ganador	N	13375	34.839	39.997
honor	N	13370	34.826	39.982
perfectamente	R	13367	34.818	39.973
Paraguay	K	13358	34.795	39.946
salto	N	13355	34.787	39.937
comparación	N	13347	34.766	39.913
variable	N	13346	34.764	39.91
arquitectura	N	13345	34.761	39.907
renunciar	V	13341	34.751	39.895
encabezar	V	13340	34.748	39.892
hábito	N	13320	34.696	39.832
masculino	A	13317	34.688	39.823
cancha	N	13316	34.686	39.82
consideración	N	13313	34.678	39.811
impulso	N	13302	34.649	39.778
XIX	N	13301	34.647	39.775
apostar	V	13299	34.641	39.769
descartar	V	13291	34.62	39.746
semilla	N	13281	34.594	39.716
Valencia	K	13272	34.571	39.689
denominar	V	13259	34.537	39.65
tejido	N	13250	34.514	39.623
fracaso	N	13248	34.508	39.617
revolucionario	A	13228	34.456	39.557
d	N	13220	34.436	39.533
en cuanto	R	13178	34.326	39.408
generalmente	R	13178	34.326	39.408
habitar	V	13177	34.324	39.405
seguro	N	13169	34.303	39.381
alzar	V	13168	34.3	39.378
oscuridad	N	13160	34.279	39.354
mencionado	A	13159	34.277	39.351
utilización	N	13149	34.251	39.321
continente	N	13142	34.232	39.3
práctico	A	13123	34.183	39.243
trato	N	13109	34.146	39.201
oler	V	13105	34.136	39.189
aguantar	V	13103	34.131	39.183
ficción	N	13095	34.11	39.159
presente	N	13093	34.105	39.153
occidental	A	13086	34.086	39.133
reportar	V	13072	34.05	39.091
colaborar	V	13069	34.042	39.082
visual	A	13061	34.021	39.058
ceremonia	N	13047	33.985	39.016
lavar	V	13043	33.974	39.004
todo	N	13043	33.974	39.004
herida	N	13032	33.946	38.971
vínculo	N	13022	33.92	38.941
profundidad	N	13015	33.902	38.92
17	M	13013	33.896	38.914
ilegal	A	12993	33.844	38.854
pintor	N	12986	33.826	38.833
prioridad	N	12955	33.745	38.741
bebida	N	12944	33.717	38.708
novedad	N	12933	33.688	38.675
ciudadanía	N	12929	33.678	38.663
virtud	N	12927	33.672	38.657
símbolo	N	12925	33.667	38.651
químico	A	12914	33.638	38.618
gubernamental	A	12904	33.612	38.588
PSOE	K	12888	33.571	38.54
religión	N	12883	33.558	38.525
logro	N	12876	33.539	38.505
repente	N	12871	33.526	38.49
composición	N	12865	33.511	38.472
pesado	A	12865	33.511	38.472
21	N	12857	33.49	38.448
pacto	N	12857	33.49	38.448
progreso	N	12853	33.48	38.436
revisión	N	12853	33.48	38.436
capa	N	12849	33.469	38.424
mandatario	N	12847	33.464	38.418
