Lema	Clase	Frec. gral.	Frec. norm.	Frec. norm.
comisión	N	48537	126.429	145.146
reducir	V	48528	126.406	145.119
histórico	A	48435	126.164	144.841
comentar	V	48388	126.041	144.7
banco	N	48363	125.976	144.625
3	N	48279	125.757	144.374
texto	N	48263	125.716	144.326
artículo	N	48073	125.221	143.758
diez	M	48020	125.083	143.6
don	N	47908	124.791	143.265
origen	N	47868	124.687	143.145
título	N	47815	124.549	142.987
antiguo	A	47777	124.45	142.873
hospital	N	47638	124.088	142.457
factor	N	47628	124.062	142.427
crecimiento	N	47461	123.627	141.928
estrategia	N	47284	123.166	141.399
compartir	V	47262	123.108	141.333
caminar	V	47223	123.007	141.216
cubrir	V	47162	122.848	141.034
acceso	N	47130	122.764	140.938
médico	N	47113	122.72	140.887
comprender	V	47071	122.611	140.762
matar	V	47012	122.457	140.585
importancia	N	47006	122.441	140.567
soler	V	46999	122.423	140.546
joven	A	46863	122.069	140.14
entrada	N	46820	121.957	140.011
significar	V	46774	121.837	139.874
cuál	W	46763	121.808	139.841
contrario	A	46700	121.644	139.652
ti	L	46658	121.535	139.527
éxito	N	46581	121.334	139.296
consumo	N	46552	121.259	139.21
fecha	N	46486	121.087	139.012
mal	R	46362	120.764	138.642
preparar	V	46259	120.496	138.334
tarde	R	46215	120.381	138.202
dolor	N	46170	120.264	138.067
trabajador	N	46149	120.209	138.005
cabo	N	46107	120.1	137.879
estructura	N	46086	120.045	137.816
premio	N	46082	120.035	137.804
negocio	N	46005	119.834	137.574
material	N	45940	119.665	137.38
conocido	A	45857	119.449	137.131
sala	N	45795	119.287	136.946
inversión	N	45724	119.102	136.734
sentar	V	45596	118.769	136.351
teléfono	N	45583	118.735	136.312
encima	R	45561	118.677	136.246
informe	N	45516	118.56	136.112
materia	N	45432	118.341	135.86
definir	V	45408	118.279	135.789
animal	N	45401	118.261	135.768
sol	N	45241	117.844	135.289
faltar	V	45158	117.628	135.041
reunión	N	45097	117.469	134.859
